t,accel,gyro,temp
41.10,-10.023,169.97,22.90
41.15,-10.249,172.48,22.89
41.20,-10.375,174.64,22.88
41.25,-10.394,176.44,22.88
41.30,-10.303,177.88,22.87
41.35,-10.109,178.95,22.86
41.40,-9.826,179.65,22.86
41.45,-9.470,179.97,22.85
41.50,-9.064,179.93,22.85
41.55,-8.631,179.51,22.84
41.60,-8.193,178.73,22.83
41.65,-7.766,177.57,22.83
41.70,-7.364,176.05,22.82
41.75,-6.993,174.16,22.81
41.80,-6.651,171.91,22.81
41.85,-6.331,169.31,22.80
41.90,-6.018,166.36,22.80
41.95,-5.696,163.07,22.79
42.00,-5.344,159.43,22.79
42.05,-4.944,155.47,22.78
42.10,-4.479,151.19,22.77
42.15,-3.939,146.60,22.77
42.20,-3.319,141.70,22.76
42.25,-2.622,136.51,22.76
42.30,-1.858,131.04,22.75
42.35,-1.042,125.29,22.75
42.40,-0.196,119.29,22.74
42.45,0.655,113.04,22.74
42.50,1.488,106.56,22.73
42.55,2.278,99.86,22.73
42.60,3.008,92.95,22.72
42.65,3.664,85.85,22.72
42.70,4.241,78.57,22.71
42.75,4.739,71.13,22.71
42.80,5.167,63.55,22.70
42.85,5.539,55.83,22.70
42.90,5.872,48.00,22.69
42.95,6.187,40.06,22.69
43.00,6.502,32.05,22.68
43.05,6.832,23.97,22.68
43.10,7.189,15.84,22.68
43.15,7.578,7.67,22.67
43.20,7.994,-0.51,22.67
43.25,8.429,-8.69,22.66
43.30,8.867,-16.85,22.66
43.35,9.288,-24.97,22.66
43.40,9.670,-33.05,22.65
43.45,9.989,-41.05,22.65
43.50,10.226,-48.97,22.64
43.55,10.366,-56.79,22.64
43.60,10.398,-64.50,22.64
43.65,10.320,-72.06,22.63
43.70,10.139,-79.49,22.63
43.75,9.865,-86.74,22.63
43.80,9.517,-93.82,22.62
43.85,9.117,-100.70,22.62
43.90,8.686,-107.38,22.62
43.95,8.247,-113.83,22.61
44.00,7.818,-120.05,22.61
44.05,7.412,-126.02,22.61
44.10,7.037,-131.73,22.61
44.15,6.692,-137.17,22.60
44.20,6.370,-142.32,22.60
44.25,6.057,-147.18,22.60
44.30,5.737,-151.74,22.60
44.35,5.390,-155.98,22.59
44.40,4.996,-159.90,22.59
44.45,4.541,-163.49,22.59
44.50,4.010,-166.75,22.59
44.55,3.400,-169.65,22.58
44.60,2.713,-172.21,22.58
44.65,1.956,-174.41,22.58
44.70,1.145,-176.26,22.58
44.75,0.302,-177.73,22.58
44.80,-0.550,-178.84,22.57
44.85,-1.386,-179.58,22.57
44.90,-2.183,-179.95,22.57
44.95,-2.921,-179.95,22.57
45.00,-3.587,-179.58,22.57
45.05,-4.173,-178.83,22.57
45.10,-4.681,-177.72,22.56
45.15,-5.117,-176.24,22.56
45.20,-5.495,-174.40,22.56
45.25,-5.832,-172.19,22.56
45.30,-6.148,-169.63,22.56
45.35,-6.462,-166.72,22.56
45.40,-6.790,-163.46,22.56
45.45,-7.144,-159.87,22.56
45.50,-7.528,-155.94,22.56
45.55,-7.941,-151.70,22.56
45.60,-8.375,-147.14,22.55
45.65,-8.813,-142.28,22.55
45.70,-9.238,-137.12,22.55
45.75,-9.625,-131.68,22.55
45.80,-9.954,-125.97,22.55
45.85,-10.202,-119.99,22.55
45.90,-10.354,-113.77,22.55
45.95,-10.400,-107.32,22.55
46.00,-10.336,-100.64,22.55
46.05,-10.166,-93.76,22.55
46.10,-9.903,-86.68,22.55
46.15,-9.564,-79.42,22.55
46.20,-9.168,-72.00,22.55
46.25,-8.740,-64.43,22.55
46.30,-8.301,-56.72,22.55
46.35,-7.870,-48.90,22.55
46.40,-7.461,-40.98,22.55
46.45,-7.082,-32.97,22.56
46.50,-6.733,-24.90,22.56
46.55,-6.409,-16.77,22.56
46.60,-6.096,-8.61,22.56
46.65,-5.778,-0.43,22.56
46.70,-5.435,7.75,22.56
46.75,-5.048,15.91,22.56
46.80,-4.601,24.04,22.56
46.85,-4.080,32.12,22.56
46.90,-3.480,40.14,22.56
46.95,-2.802,48.07,22.57
47.00,-2.053,55.90,22.57
47.05,-1.248,63.62,22.57
47.10,-0.407,71.20,22.57
47.15,0.445,78.64,22.57
47.20,1.284,85.92,22.57
47.25,2.087,93.01,22.58
47.30,2.833,99.92,22.58
47.35,3.509,106.62,22.58
47.40,4.105,113.10,22.58
47.45,4.622,119.35,22.58
47.50,5.067,125.35,22.59
47.55,5.451,131.09,22.59
47.60,5.792,136.56,22.59
47.65,6.110,141.74,22.59
47.70,6.423,146.64,22.59
47.75,6.748,151.23,22.60
47.80,7.098,155.51,22.60
47.85,7.479,159.47,22.60
47.90,7.889,163.10,22.61
47.95,8.320,166.39,22.61
48.00,8.759,169.34,22.61
48.05,9.187,171.94,22.61
48.10,9.580,174.18,22.62
48.15,9.917,176.06,22.62
48.20,10.176,177.58,22.62
48.25,10.341,178.73,22.63
48.30,10.400,179.52,22.63
48.35,10.349,179.93,22.63
48.40,10.193,179.97,22.64
48.45,9.941,179.64,22.64
48.50,9.609,178.94,22.65
48.55,9.220,177.87,22.65
48.60,8.794,176.43,22.65
48.65,8.355,174.63,22.66
48.70,7.922,172.46,22.66
48.75,7.510,169.94,22.66
48.80,7.127,167.07,22.67
48.85,6.775,163.85,22.67
48.90,6.448,160.30,22.68
48.95,6.135,156.41,22.68
49.00,5.818,152.20,22.69
49.05,5.479,147.68,22.69
49.10,5.099,142.85,22.70
49.15,4.660,137.73,22.70
49.20,4.149,132.32,22.70
49.25,3.559,126.64,22.71
49.30,2.890,120.69,22.71
49.35,2.149,114.50,22.72
49.40,1.350,108.07,22.72
49.45,0.513,101.42,22.73
49.50,-0.340,94.56,22.73
49.55,-1.182,87.50,22.74
49.60,-1.990,80.26,22.74
49.65,-2.745,72.86,22.75
49.70,-3.429,65.30,22.76
49.75,-4.036,57.62,22.76
49.80,-4.562,49.81,22.77
49.85,-5.015,41.90,22.77
49.90,-5.406,33.90,22.78
49.95,-5.752,25.83,22.78
50.00,-6.071,17.71,22.79
50.05,-6.384,9.55,22.80
50.10,-6.707,1.37,22.80
50.15,-7.053,-6.81,22.81
50.20,-7.430,-14.97,22.81
50.25,-7.836,-23.11,22.82
50.30,-8.266,-31.19,22.83
50.35,-8.705,-39.22,22.83
50.40,-9.135,-47.16,22.84
50.45,-9.534,-55.00,22.85
50.50,-9.879,-62.73,22.85
50.55,-10.149,-70.34,22.86
50.60,-10.326,-77.79,22.87
50.65,-10.399,-85.09,22.87
50.70,-10.362,-92.21,22.88
50.75,-10.218,-99.14,22.89
50.80,-9.977,-105.86,22.89
50.85,-9.654,-112.37,22.90
50.90,-9.270,-118.64,22.91
50.95,-8.848,-124.67,22.92
51.00,-8.410,-130.44,22.92
51.05,-7.975,-135.94,22.93
51.10,-7.560,-141.16,22.94
51.15,-7.173,-146.09,22.94
51.20,-6.817,-150.72,22.95
51.25,-6.488,-155.03,22.96
51.30,-6.173,-159.03,22.97
51.35,-5.858,-162.70,22.98
51.40,-5.523,-166.03,22.98
51.45,-5.149,-169.02,22.99
51.50,-4.718,-171.65,23.00
51.55,-4.217,-173.94,23.01
51.60,-3.637,-175.86,23.02
51.65,-2.977,-177.43,23.02
51.70,-2.244,-178.62,23.03
51.75,-1.451,-179.45,23.04
51.80,-0.618,-179.90,23.05
51.85,0.234,-179.99,23.06
51.90,1.079,-179.70,23.07
51.95,1.893,-179.04,23.07
52.00,2.655,-178.01,23.08
52.05,3.349,-176.61,23.09
52.10,3.965,-174.85,23.10
52.15,4.501,-172.73,23.11
52.20,4.963,-170.25,23.12
52.25,5.360,-167.42,23.13
52.30,5.711,-164.24,23.14
52.35,6.032,-160.72,23.15
52.40,6.345,-156.88,23.15
52.45,6.666,-152.70,23.16
52.50,7.009,-148.22,23.17
52.55,7.381,-143.42,23.18
52.60,7.784,-138.33,23.19
52.65,8.212,-132.96,23.20
52.70,8.651,-127.30,23.21
52.75,9.083,-121.39,23.22
52.80,9.487,-115.23,23.23
52.85,9.840,-108.82,23.24
52.90,10.120,-102.20,23.25
52.95,10.310,-95.36,23.26
53.00,10.395,-88.32,23.27
53.05,10.372,-81.10,23.28
53.10,10.241,-73.72,23.29
53.15,10.011,-66.18,23.30
53.20,9.698,-58.51,23.31
53.25,9.320,-50.71,23.32
53.30,8.902,-42.81,23.33
53.35,8.464,-34.82,23.34
53.40,8.028,-26.76,23.35
53.45,7.610,-18.65,23.36
53.50,7.219,-10.49,23.37
53.55,6.860,-2.32,23.38
53.60,6.527,5.86,23.39
53.65,6.212,14.03,23.40
53.70,5.898,22.17,23.42
53.75,5.566,30.27,23.43
53.80,5.198,38.30,23.44
53.85,4.775,46.25,23.45
53.90,4.283,54.11,23.46
53.95,3.713,61.85,23.47
54.00,3.063,69.47,23.48
54.05,2.338,76.94,23.49
54.10,1.552,84.26,23.50
54.15,0.722,91.40,23.52
54.20,-0.128,98.35,23.53
54.25,-0.975,105.10,23.54
54.30,-1.794,111.63,23.55
54.35,-2.564,117.93,23.56
54.40,-3.267,123.99,23.57
54.45,-3.893,129.79,23.58
54.50,-4.439,135.32,23.60
54.55,-4.909,140.58,23.61
54.60,-5.314,145.54,23.62
54.65,-5.669,150.20,23.63
54.70,-5.993,154.55,23.64
54.75,-6.306,158.59,23.66
54.80,-6.625,162.29,23.67
54.85,-6.965,165.66,23.68
54.90,-7.334,168.69,23.69
54.95,-7.733,171.37,23.70
55.00,-8.158,173.69,23.72
55.05,-8.596,175.66,23.73
55.10,-9.031,177.26,23.74
55.15,-9.439,178.50,23.75
55.20,-9.800,179.37,23.77
55.25,-10.090,179.87,23.78
55.30,-10.291,180.00,23.79
55.35,-10.391,179.75,23.80
55.40,-10.381,179.13,23.82
55.45,-10.263,178.15,23.83
55.50,-10.045,176.79,23.84
55.55,-9.740,175.07,23.86
55.60,-9.370,172.99,23.87
55.65,-8.955,170.55,23.88
55.70,-8.518,167.76,23.89
55.75,-8.081,164.62,23.91
55.80,-7.660,161.15,23.92
55.85,-7.266,157.34,23.93
55.90,-6.903,153.20,23.95
55.95,-6.567,148.75,23.96
56.00,-6.251,143.99,23.97
56.05,-5.937,138.93,23.99
56.10,-5.609,133.59,24.00
56.15,-5.246,127.97,24.01
56.20,-4.831,122.08,24.03
56.25,-4.348,115.95,24.04
56.30,-3.788,109.57,24.05
56.35,-3.148,102.97,24.07
56.40,-2.432,96.15,24.08
56.45,-1.652,89.14,24.09
56.50,-0.827,81.94,24.11
56.55,0.023,74.58,24.12
56.60,0.872,67.06,24.14
56.65,1.695,59.40,24.15
56.70,2.472,51.61,24.16
56.75,3.184,43.72,24.18
56.80,3.820,35.75,24.19
56.85,4.376,27.69,24.21
56.90,4.855,19.58,24.22
56.95,5.267,11.43,24.23
57.00,5.627,3.26,24.25
57.05,5.954,-4.92,24.26
57.10,6.267,-13.09,24.28
57.15,6.585,-21.24,24.29
57.20,6.921,-29.34,24.31
57.25,7.286,-37.38,24.32
57.30,7.682,-45.34,24.33
57.35,8.104,-53.21,24.35
57.40,8.542,-60.97,24.36
57.45,8.978,-68.60,24.38
57.50,9.391,-76.09,24.39
57.55,9.758,-83.42,24.41
57.60,10.059,-90.59,24.42
57.65,10.272,-97.56,24.44
57.70,10.384,-104.33,24.45
57.75,10.388,-110.89,24.47
57.80,10.283,-117.22,24.48
57.85,10.077,-123.30,24.49
57.90,9.782,-129.13,24.51
57.95,9.419,-134.70,24.52
58.00,9.008,-139.99,24.54
58.05,8.573,-144.98,24.55
58.10,8.135,-149.68,24.57
58.15,7.711,-154.07,24.58
58.20,7.313,-158.14,24.60
58.25,6.946,-161.88,24.61
58.30,6.608,-165.29,24.63
58.35,6.289,-168.36,24.65
58.40,5.976,-171.08,24.66
58.45,5.651,-173.44,24.68
58.50,5.294,-175.45,24.69
58.55,4.886,-177.10,24.71
58.60,4.412,-178.38,24.72
58.65,3.862,-179.29,24.74
58.70,3.231,-179.83,24.75
58.75,2.524,-180.00,24.77
58.80,1.752,-179.80,24.78
58.85,0.931,-179.22,24.80
58.90,0.083,-178.28,24.81
58.95,-0.767,-176.97,24.83
59.00,-1.595,-175.29,24.85
59.05,-2.379,-173.25,24.86
59.10,-3.099,-170.85,24.88
59.15,-3.745,-168.10,24.89
59.20,-4.311,-165.00,24.91
59.25,-4.799,-161.56,24.92
59.30,-5.219,-157.79,24.94
59.35,-5.585,-153.69,24.95
59.40,-5.915,-149.28,24.97
59.45,-6.229,-144.55,24.99
59.50,-6.545,-139.53,25.00
59.55,-6.878,-134.22,25.02
59.60,-7.239,-128.63,25.03
59.65,-7.631,-122.77,25.05
59.70,-8.051,-116.67,25.07
59.75,-8.487,-110.32,25.08
59.80,-8.925,-103.74,25.10
59.85,-9.342,-96.95,25.11
59.90,-9.716,-89.96,25.13
59.95,-10.026,-82.78,25.15
60.00,-10.251,-75.43,25.16
